City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,constantia,44.1833,28.65,21.5,63,28,6.78,RO,1694629446
118,tanguieta,10.6212,1.2665,25.75,82,68,0.61,BJ,1694629597
119,dudinka,69.4058,86.1778,11.46,89,100,7.7,RU,1694629597
120,east london,-33.0153,27.9116,18.52,72,0,4.12,ZA,1694629597
121,rockland,41.1668,-74.0496,25.8,82,94,0.45,US,1694629597
122,aljezur,37.3191,-8.8033,22.1,73,8,4.36,PT,1694629597
123,saipan,15.1355,145.701,27.39,94,20,2.06,MP,1694629597
124,port elizabeth,-33.918,25.5701,16.16,88,0,2.57,ZA,1694629597
125,dampit,-8.2116,112.7493,20.91,91,49,2.31,ID,1694629597
126,vrangel',42.7297,133.0839,15.78,85,100,1.46,RU,1694629597
127,wotje,9.4543,170.2367,28.33,77,38,5.63,MH,1694629598
128,cidreira,-30.1811,-50.2056,17.33,98,100,1.81,BR,1694629598
129,karacabey,40.2152,28.4038,21.21,71,0,1.91,TR,1694629598
130,takoradi,4.8845,-1.7554,24.54,91,98,4.08,GH,1694629513
131,bethel,41.3712,-73.414,25.57,85,75,3.09,US,1694629491
132,ramos arizpe,25.55,-100.9667,31.01,39,0,0.0,MX,1694629598
133,vorgashor,67.5833,63.95,10.25,75,31,6.34,RU,1694629598
134,kuandian,40.7286,124.7847,15.92,79,74,1.32,CN,1694629598
135,colonia,50.9333,6.95,18.23,80,100,1.54,DE,1694629345
136,sao jose da coroa grande,-8.8978,-35.1478,26.19,76,23,5.39,BR,1694629598
137,valenca,-13.3703,-39.0731,27.25,53,0,3.06,BR,1694629599
138,kalix,65.853,23.1565,10.02,82,10,3.17,SE,1694629599
139,zambezi,-13.5432,23.1047,27.97,28,18,4.57,ZM,1694629599
140,chadron,42.8294,-102.9999,23.86,50,0,8.75,US,1694629599
141,crixas,-14.5489,-49.9692,38.36,14,0,3.24,BR,1694629599
142,jabor,5.921,169.6434,28.48,74,90,3.54,MH,1694629599
143,freetown,8.484,-13.2299,26.02,87,100,2.1,SL,1694629599
144,prince george,53.9166,-122.753,15.7,55,20,2.57,CA,1694629599
145,egilsstadir,65.2653,-14.3948,8.95,61,0,6.69,IS,1694629600
146,tuy hoa,13.0833,109.3,26.75,75,98,7.34,VN,1694629600
147,anzio,41.4853,12.6179,24.92,75,99,1.93,IT,1694629600
148,terenozek,45.05,64.9833,15.52,42,44,4.0,KZ,1694629345
149,san patricio,28.017,-97.5169,35.6,44,50,0.71,US,1694629600
150,new norfolk,-42.7826,147.0587,12.62,90,100,1.48,AU,1694629600
151,crane,31.3974,-102.3501,25.65,59,99,2.92,US,1694629600
152,lashio,22.9333,97.75,20.59,100,100,0.31,MM,1694629600
153,derzhavinsk,51.1,66.3167,13.8,65,62,2.2,KZ,1694629600
154,pitrufquen,-38.9833,-72.65,12.01,76,100,6.69,CL,1694629601
155,lata,40.1629,-8.3327,24.49,54,64,1.86,PT,1694629601
156,nyurba,63.2842,118.3319,3.09,97,100,5.31,RU,1694629601
157,mount pleasant,32.7941,-79.8626,32.88,70,40,2.06,US,1694629601
158,shagonar,51.5333,92.8,10.86,77,99,1.32,RU,1694629601
159,catriel,-37.8791,-67.7956,16.97,20,34,3.86,AR,1694629601
160,nova sintra,14.8667,-24.7167,24.9,78,52,5.28,CV,1694629601
161,ancud,-41.8697,-73.8203,9.25,89,100,9.08,CL,1694629601
162,berdigestyakh,62.0989,126.6992,5.79,93,100,2.23,RU,1694629601
163,mudgee,-32.5943,149.5871,8.15,76,0,2.0,AU,1694629602
164,kenai,60.5544,-151.2583,10.08,95,100,1.54,US,1694629488
165,alaghsas,17.0187,8.0168,32.94,46,20,2.57,NE,1694629602
166,huarmey,-10.0681,-78.1522,21.72,71,55,5.9,PE,1694629602
167,al ghayzah,16.2079,52.176,27.31,86,33,4.35,YE,1694629602
168,sainte-suzanne,-20.9061,55.6089,22.12,78,0,5.14,RE,1694629602
169,fuglafjordur,62.244,-6.814,9.26,76,100,9.39,FO,1694629602
170,saurimo,-9.6608,20.3916,23.93,55,82,0.7,AO,1694629602
171,chaoyang,41.5703,120.4586,15.6,79,5,1.22,CN,1694629603
172,christchurch,-43.5333,172.6333,9.41,86,85,0.51,NZ,1694629603
173,aspen,39.1911,-106.8175,19.73,36,40,2.57,US,1694629328
174,ust'-barguzin,53.45,108.9833,8.43,78,93,1.5,RU,1694629476
175,amahai,-3.3333,128.9167,24.03,90,65,1.38,ID,1694629603
176,sitka,57.0531,-135.33,11.94,82,100,3.09,US,1694629603
177,kruisfontein,-34.0033,24.7314,15.8,47,65,2.12,ZA,1694629603
178,torghay,49.6339,63.4981,15.88,56,99,2.66,KZ,1694629603
